census_tract,activity_year,loan_type,action_taken_type,state,county,msa,split_county_indicator,population_classification,income_group_code,nLoans1,amtLoans1,nLoans100k,amtLoans100k,nLoans250k,amtLoans250k,nLoansToSmallest,amtLoansToSmallest,income_group,cra_level,nLoans,amtLoans,avgSmallLoan,nWorkingLoans,amtWorkingLoans,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,nLoans1_per_totaljob,amtLoans1_per_totaljob,nLoans100k_per_totaljob,amtLoans100k_per_totaljob,nLoans250k_per_totaljob,amtLoans250k_per_totaljob,nLoansToSmallest_per_totaljob,amtLoansToSmallest_per_totaljob,nLoans_per_totaljob,amtLoans_per_totaljob,nWorkingLoans_per_totaljob,amtWorkingLoans_per_totaljob,nLoans1_per_sbjob,amtLoans1_per_sbjob,nLoans100k_per_sbjob,amtLoans100k_per_sbjob,nLoans250k_per_sbjob,amtLoans250k_per_sbjob,nLoansToSmallest_per_sbjob,amtLoansToSmallest_per_sbjob,nLoans_per_sbjob,amtLoans_per_sbjob,nWorkingLoans_per_sbjob,amtWorkingLoans_per_sbjob,GEOID,STUSAB,LOGRECNO,pop_total,B11001_001,pop_white,pop_black,white_householder,black_householder,owner_occ_housing_units,mfi,female_householder,unemployed_16plus,poverty_past_12_months,median_home_value,median_year_built,labor_force_16plus,poverty_status_known,pop_total_err,B11001_001_err,pop_white_err,pop_black_err,black_householder_err,white_householder_err,owner_occ_housing_units_err,mfi_err,female_householder_err,unemployed_16plus_err,poverty_past_12_months_err,median_home_value_err,median_year_built_err,labor_force_16plus_err,poverty_status_known_err,Geography Name,hs_grad_25plus,total_householders,pop_25plus,hs_grad_25plus_serr,pop_25plus_serr,total_householders_serr,pct_white,pct_black,pct_white_householders,pct_black_householders,pct_female_householders,pct_hs_grad,pct_unemployed,pct_white_serr,pct_black_serr,pct_white_householders_serr,pct_black_householders_serr,pct_female_householders_serr,pct_hs_grad_serr,pct_unemployed_serr,pct_poverty_serr,amtLoans1_adj,amtLoans100k_adj,amtLoans250k_adj,amtLoansToSmallest_adj,amtLoans_adj,amtWorkingLoans_adj,mfi_adj,median_home_value_adj,amtLoans1_per_totaljob_adj,amtLoans100k_per_totaljob_adj,amtLoans250k_per_totaljob_adj,amtLoansToSmallest_per_totaljob_adj,amtLoans_per_totaljob_adj,amtWorkingLoans_per_totaljob_adj,amtLoans1_per_sbjob_adj,amtLoans100k_per_sbjob_adj,amtLoans250k_per_sbjob_adj,amtLoansToSmallest_per_sbjob_adj,amtLoans_per_sbjob_adj,amtWorkingLoans_per_sbjob_adj
1.0,2011,4,1,11,1,47894.0,N,L,13,290,4159000,12,2176000,19,11117000,128,5243000,> 120% of MFI,upper,321,17452000,14341.379310344828,321.0,17452000.0,101520.0,29912.0,52608.0,19000.0,22232.0,31648.0,47640.0,0.0,0.0,0.0,1112.0,656.0,1184.0,14672.0,112.0,4120.0,2792.0,3408.0,17984.0,448.0,3448.0,4296.0,1008.0,1216.0,33104.0,11960.0,0.0,75424.0,16856.0,568.0,7232.0,200.0,1240.0,88280.0,13240.0,14688.0,17536.0,18960.0,20424.0,50104.0,51416.0,203.0,390.0,359.0,718.0,5024.0,1580.0,910.0,1385.0,285.0,2534.0,0.0028565799842395585,40.96729708431836,0.00011820330969267139,21.434200157604412,0.0001871552403467297,109.50551615445232,0.001260835303388495,51.64499605988968,0.0031619385342789596,171.9070133963751,0.0031619385342789596,171.9070133963751,0.18354430379746836,2632.278481012658,0.007594936708860759,1377.2151898734178,0.012025316455696202,7036.0759493670885,0.0810126582278481,3318.3544303797466,0.20316455696202532,11045.569620253165,0.20316455696202532,11045.569620253165,14000US11001000100,dc,189.0,4802.0,2410.0,4238.0,29.0,2160.0,11.0,1201.0,250001.0,33.0,49.0,304.0,1000001.0,1939.0,3032.0,4797.0,631.0,223.0,566.0,36.0,225.0,17.0,206.0,,38.0,47.0,128.0,,,425.0,630.0,"Census Tract 1, District of Columbia, District of Columbia",3660.0,2410.0,3660.0,288.17411017018566,279.2054315176879,189.11638180374158,0.882548937942524,0.006039150354019159,0.8962655601659751,0.004564315352697096,0.013692946058091286,1.0,0.06337294142172191,0.012804954486240786,0.0045317673923887915,0.04296910834833934,0.04296910834833934,0.04296910834833934,0.011848246477075325,0.057761235180853035,0.015411625197126898,4586112.263478384,2399466.286446012,12258670.361406395,5781434.6230866,19244248.911330793,19244248.911330793,275675.0786203077,1102697.0063935195,45.17447068044114,23.635404712825178,120.75128409580768,56.94872560171986,189.561159489074,189.561159489074,2902.6026984040404,1518.649548383552,7758.652127472402,3659.135837396582,12179.904374259995,12179.904374259995
1.0,2012,4,1,11,1,47894.0,N,L,13,333,4300000,10,1878000,15,9112000,162,4879000,> 120% of MFI,upper,358,15290000,12912.912912912912,358.0,15290000.0,150512.0,49032.0,76728.0,24752.0,26040.0,44320.0,80152.0,0.0,0.0,16.0,3832.0,272.0,5264.0,15152.0,128.0,5560.0,3560.0,4176.0,38936.0,544.0,3104.0,4856.0,1272.0,1616.0,33584.0,28448.0,192.0,94288.0,39904.0,672.0,11920.0,312.0,3416.0,130776.0,19736.0,17808.0,22288.0,25704.0,35680.0,77176.0,73336.0,590.0,213.0,1341.0,696.0,6948.0,1940.0,955.0,1610.0,315.0,4968.0,0.0022124481768895504,28.569150632507707,6.64398851918784e-05,12.477410439034761,9.965982778781758e-05,60.540023386839586,0.00107632614010843,32.416019985117465,0.0023785478898692464,101.58658445838205,0.0023785478898692464,101.58658445838205,0.17164948453608248,2216.494845360825,0.005154639175257732,968.0412371134021,0.007731958762886598,4696.907216494846,0.08350515463917525,2514.9484536082473,0.18453608247422681,7881.443298969072,0.18453608247422681,7881.443298969072,14000US11001000100,dc,188.0,5040.0,2453.0,4524.0,27.0,2221.0,10.0,1261.0,250001.0,27.0,99.0,296.0,1000001.0,1939.0,3233.0,5030.0,604.0,186.0,591.0,31.0,178.0,16.0,210.0,,32.0,73.0,141.0,,,396.0,604.0,"Census Tract 1, District of Columbia, District of Columbia",3780.0,2453.0,3780.0,264.75402942132047,253.5537460372205,150.01901500242568,0.8976190476190476,0.005357142857142857,0.9054219323277619,0.0040766408479412965,0.0110069302894415,1.0,0.058846918489065606,0.0283745447867831,0.0037186603263412313,0.03389426035251291,0.03389426035251291,0.03389426035251291,0.012253232254342333,0.049729599495730345,0.01649030253424299,4606832.550239341,2012007.3324068564,9762199.580879273,5227147.909911104,16381039.46352547,16381039.46352547,267840.1731145083,1071357.478388812,30.607742573611013,13.367753617032903,64.85994193738222,34.72911070154608,108.83543812802613,108.83543812802613,2374.6559537316193,1037.1171816530189,5032.061639628491,2694.4061391294345,8443.834775013129,8443.834775013129
1.0,2013,4,1,11,1,47894.0,N,L,13,299,5052000,15,2534000,18,9201000,153,3824000,> 120% of MFI,upper,332,16787000,16896.321070234113,332.0,16787000.0,146504.0,44488.0,77832.0,24184.0,21624.0,41520.0,83360.0,0.0,0.0,16.0,2616.0,328.0,3736.0,13832.0,536.0,2400.0,3384.0,3464.0,47160.0,336.0,2792.0,4608.0,1272.0,1680.0,33624.0,24608.0,112.0,93928.0,36112.0,688.0,12608.0,272.0,2896.0,128160.0,18344.0,16144.0,22320.0,26016.0,37536.0,75280.0,71224.0,185.0,399.0,1061.0,828.0,7070.0,1540.0,1375.0,1136.0,405.0,5087.0,0.00204089990716977,34.48370010375143,0.00010238628296838312,17.296456069458856,0.00012286353956205974,62.803745972806205,0.0010443400862775079,26.101676404739802,0.002266149729700213,114.58390214601648,0.002266149729700213,114.58390214601648,0.19415584415584416,3280.5194805194806,0.00974025974025974,1645.4545454545455,0.011688311688311689,5974.675324675325,0.09935064935064936,2483.116883116883,0.21558441558441557,10900.64935064935,0.21558441558441557,10900.64935064935,14000US11001000100,dc,9.0,4999.0,2423.0,4552.0,63.0,2210.0,29.0,1259.0,250001.0,73.0,199.0,224.0,1000001.0,1939.0,3277.0,4999.0,503.0,189.0,486.0,63.0,189.0,33.0,208.0,,73.0,134.0,116.0,,,341.0,503.0,"Census Tract 1, District of Columbia, District of Columbia",3755.0,2423.0,3755.0,252.36311652058737,274.7996059009755,166.81808084414996,0.9105821164232847,0.01260252050410082,0.9120924473792819,0.011968633924886504,0.03012794056954189,1.0,0.04480896179235847,0.01976260962868778,0.007622225937771367,0.03906107794754953,0.03906107794754953,0.03906107794754953,0.060401377180325976,0.04665697051479488,0.013837328991030644,5327525.742574258,2672199.174917492,9702803.712871287,4032553.135313532,17702528.630363036,17702528.630363036,263635.5429867987,1054539.0083333335,36.364370546703555,18.239769391398816,66.22893376884787,27.525208426483452,120.83307370695023,120.83307370695023,3459.4323003728946,1735.1942694269428,6300.521891474863,2618.5409969568386,11495.148461274699,11495.148461274699
1.0,2014,4,1,11,1,47894.0,N,L,13,338,5923000,15,2570000,25,14877000,173,5855000,> 120% of MFI,upper,378,23370000,17523.668639053256,378.0,23370000.0,158504.0,47080.0,83592.0,27832.0,24568.0,42448.0,91488.0,0.0,0.0,0.0,2640.0,488.0,3264.0,16480.0,632.0,3008.0,3984.0,4808.0,48904.0,256.0,3008.0,5200.0,1272.0,1656.0,38752.0,23544.0,608.0,100800.0,40952.0,664.0,12904.0,304.0,2880.0,139904.0,18600.0,18048.0,24688.0,28424.0,40264.0,81376.0,77128.0,423.0,339.0,320.0,1623.0,7596.0,1524.0,1341.0,1386.0,676.0,5374.0,0.0021324382980871144,37.36814212890526,9.46348357139252e-05,16.214101852319185,0.00015772472618987533,93.85883006107102,0.0010914551052339373,36.9391308736688,0.002384797859990915,147.44107404229547,0.002384797859990915,147.44107404229547,0.22178477690288714,3886.482939632546,0.00984251968503937,1686.3517060367453,0.016404199475065617,9761.811023622047,0.11351706036745407,3841.8635170603675,0.24803149606299213,15334.645669291338,0.24803149606299213,15334.645669291338,14000US11001000100,dc,9.0,5184.0,2446.0,4734.0,44.0,2239.0,29.0,1309.0,250001.0,71.0,142.0,123.0,1000001.0,1939.0,3386.0,5184.0,514.0,193.0,544.0,55.0,215.0,33.0,220.0,,80.0,87.0,83.0,,,363.0,514.0,"Census Tract 1, District of Columbia, District of Columbia",3889.0,2446.0,3889.0,251.60491308608954,252.79692087004287,154.0046925594402,0.9131944444444444,0.008487654320987654,0.9153720359771055,0.011856091578086671,0.02902698282910875,1.0,0.023726851851851853,0.032246133659232554,0.006429263522449257,0.03598271162953686,0.03598271162953686,0.03598271162953686,0.055751817053886724,0.04508892351127733,0.009627370035660231,6148939.777526977,2668035.662374528,15444500.602780487,6078345.837822125,24261476.042681992,24261476.042681992,259537.58117871376,1038147.2102763387,38.79359371073901,16.832607772513807,97.43918514851669,38.348217318314525,153.0653866317695,153.0653866317695,4034.7373868287245,1750.6795684872232,10134.186747231292,3988.4159040827594,15919.60370254724,15919.60370254724
1.0,2015,4,1,11,1,47894.0,N,L,13,343,5739000,9,1610000,15,8231000,195,4906000,> 120% of MFI,upper,367,15580000,16731.778425655975,367.0,15580000.0,155848.0,45224.0,82520.0,28104.0,22456.0,40984.0,92408.0,0.0,0.0,0.0,3464.0,240.0,3632.0,14328.0,16.0,3400.0,4120.0,5536.0,47024.0,128.0,1176.0,3528.0,1400.0,1448.0,42616.0,23696.0,96.0,99944.0,39072.0,648.0,13024.0,240.0,2920.0,137712.0,18136.0,17608.0,25272.0,28056.0,39688.0,80592.0,75256.0,393.0,416.0,352.0,1983.0,7031.0,1583.0,1186.0,1609.0,627.0,5170.0,0.0022008623787279913,36.8243416662389,5.77485755351368e-05,10.330578512396695,9.624762589189467e-05,52.814280581079,0.0012512191365946306,31.479390175042347,0.002354858580155023,99.9692007597146,0.002354858580155023,99.9692007597146,0.21667719519898926,3625.3948199620972,0.005685407454200884,1017.0562223626026,0.009475679090334808,5199.6209728363865,0.1231838281743525,3099.1787744788376,0.23183828174352494,9842.072015161086,0.23183828174352494,9842.072015161086,14000US11001000100,dc,9.0,5209.0,2435.0,4784.0,66.0,2240.0,50.0,1351.0,250001.0,75.0,141.0,188.0,1230300.0,1939.0,3350.0,5188.0,403.0,171.0,383.0,64.0,172.0,46.0,160.0,,76.0,83.0,165.0,335492.0,,310.0,405.0,"Census Tract 1, District of Columbia, District of Columbia",3820.0,2435.0,3820.0,239.89216080385782,258.72957462304055,164.813407578491,0.9184104434632367,0.012670378191591477,0.919917864476386,0.02053388090349076,0.030800821355236138,1.0,0.036237471087124135,0.011494221452419302,0.0074451432053188795,0.039554723350664484,0.039554723350664484,0.039554723350664484,0.05614830435903168,0.04346723465978362,0.01925720642862045,5963248.944190803,1672910.054042027,8552622.766968897,5097699.829273406,16188781.765201729,16188781.765201729,259769.68100655952,1278373.440675718,38.263236898714155,10.734241402148422,54.87797576464823,32.70943373847214,103.87545406551081,103.87545406551081,3767.0555553953272,1056.7972546064605,5402.79391469924,3220.277845403289,10226.646724701028,10226.646724701028
1.0,2016,4,1,11,1,47894.0,N,L,13,316,5520000,11,1953000,17,8777000,158,4513000,> 120% of MFI,upper,344,16250000,17468.354430379746,344.0,16250000.0,155848.0,45224.0,82520.0,28104.0,22456.0,40984.0,92408.0,0.0,0.0,0.0,3464.0,240.0,3632.0,14328.0,16.0,3400.0,4120.0,5536.0,47024.0,128.0,1176.0,3528.0,1400.0,1448.0,42616.0,23696.0,96.0,99944.0,39072.0,648.0,13024.0,240.0,2920.0,137712.0,18136.0,17608.0,25272.0,28056.0,39688.0,80592.0,75256.0,393.0,416.0,352.0,1983.0,7031.0,1583.0,1186.0,1609.0,627.0,5170.0,0.002027616652122581,35.41912632821724,7.058159232072275e-05,12.531440891124685,0.00010908064267748062,56.31769416354397,0.0010138083260612905,28.95770237667471,0.0022072788871207844,104.26826138288588,0.0022072788871207844,104.26826138288588,0.1996209728363866,3487.049905243209,0.006948831332912192,1233.733417561592,0.010739102969046115,5544.535691724574,0.0998104864181933,2850.915982312066,0.21730890713834491,10265.319014529374,0.21730890713834491,10265.319014529374,14000US11001000100,dc,9.0,5005.0,2454.0,4645.0,53.0,2285.0,38.0,1279.0,242931.0,62.0,138.0,165.0,1200600.0,1939.0,3259.0,4982.0,401.0,185.0,416.0,64.0,176.0,44.0,198.0,38520.0,81.0,75.0,174.0,289697.0,,311.0,401.0,"Census Tract 1, District of Columbia, District of Columbia",3769.0,2454.0,3781.0,245.8122946197242,263.80247221786965,157.06964483616935,0.9280719280719281,0.01058941058941059,0.9311328443357784,0.015484922575387123,0.02526487367563162,0.9968262364453848,0.03311922922521076,0.022578092595666767,0.0077562526684956225,0.03783365625235102,0.03783365625235102,0.03783365625235102,0.057874468229744895,0.04578563050245568,0.021169513685189236,5658002.329939727,2001825.8243428054,8996428.704688584,4625826.904894562,16656256.858971115,16656256.858971115,249004.3775388746,1230615.5067618906,36.30461943650048,12.844732202805332,57.72566028879796,29.68165715886353,106.87501192810376,106.87501192810376,3574.227624725033,1264.5772737478242,5683.151424313698,2922.190085214506,10521.956322786555,10521.956322786555
1.0,2017,4,1,11,1,47894.0,N,L,13,371,6225000,13,2054000,19,9751000,187,6479000,> 120% of MFI,upper,403,18030000,16778.975741239894,403.0,18030000.0,155848.0,45224.0,82520.0,28104.0,22456.0,40984.0,92408.0,0.0,0.0,0.0,3464.0,240.0,3632.0,14328.0,16.0,3400.0,4120.0,5536.0,47024.0,128.0,1176.0,3528.0,1400.0,1448.0,42616.0,23696.0,96.0,99944.0,39072.0,648.0,13024.0,240.0,2920.0,137712.0,18136.0,17608.0,25272.0,28056.0,39688.0,80592.0,75256.0,393.0,416.0,352.0,1983.0,7031.0,1583.0,1186.0,1609.0,627.0,5170.0,0.0023805246137261946,39.94276474513629,8.341460910630871e-05,13.179508238796776,0.00012191365946306658,62.56737333812433,0.0011998870694522868,41.572557876905705,0.00258585288229557,115.68964632205738,0.00258585288229557,115.68964632205738,0.23436512950094757,3932.406822488945,0.0082122552116235,1297.536323436513,0.012002526847757423,6159.823120656981,0.11813013265950727,4092.861655085281,0.2545799115603285,11389.76626658244,0.2545799115603285,11389.76626658244,14000US11001000100,dc,9.0,5170.0,2471.0,4665.0,53.0,2298.0,37.0,1397.0,226516.0,92.0,171.0,248.0,1231500.0,1939.0,3343.0,5151.0,350.0,180.0,431.0,60.0,191.0,40.0,195.0,21436.0,88.0,90.0,177.0,272982.0,,280.0,348.0,"Census Tract 1, District of Columbia, District of Columbia",4043.0,2471.0,4098.0,253.7089185883202,276.9162110256251,170.70380755346127,0.902321083172147,0.010251450676982592,0.9299878591663294,0.014973694860380412,0.03723188992310805,0.9865788189360664,0.04814599106969521,0.0344867455615481,0.007042338280136287,0.04027613233481796,0.04027613233481796,0.04027613233481796,0.055306903642213176,0.04606173905681437,0.020795113572231485,6225000.0,2054000.0,9751000.0,6479000.0,18030000.0,18030000.0,226516.0,1231500.0,39.94276474513629,13.179508238796776,62.56737333812433,41.572557876905705,115.68964632205738,115.68964632205738,3932.406822488945,1297.536323436513,6159.823120656981,4092.861655085281,11389.76626658244,11389.76626658244
2.01,2011,4,1,11,1,47894.0,N,L,14,1,2000,1,150000,0,0,1,2000,,unknown,2,152000,2000.0,1.0,150000.0,80016.0,21744.0,41648.0,16624.0,3592.0,13464.0,62960.0,0.0,0.0,0.0,728.0,0.0,32.0,0.0,0.0,176.0,160.0,128.0,4232.0,16.0,2528.0,152.0,70168.0,16.0,1256.0,424.0,0.0,54208.0,16688.0,832.0,6648.0,248.0,1392.0,73744.0,6272.0,8808.0,14264.0,16304.0,18896.0,34760.0,45256.0,9.0,28.0,35.0,34.0,5016.0,52.0,32.0,66.0,34.0,4938.0,1.249750049990002e-05,0.02499500099980004,1.249750049990002e-05,1.874625074985003,0.0,0.0,1.249750049990002e-05,0.02499500099980004,2.499500099980004e-05,1.899620075984803,1.249750049990002e-05,1.874625074985003,0.019230769230769232,38.46153846153846,0.019230769230769232,2884.6153846153848,0.0,0.0,0.019230769230769232,38.46153846153846,0.038461538461538464,2923.076923076923,0.019230769230769232,2884.6153846153848,14000US11001000201,dc,190.0,4216.0,0.0,3476.0,307.0,0.0,0.0,0.0,,0.0,0.0,51.0,,,566.0,51.0,764.0,95.0,763.0,128.0,95.0,95.0,95.0,,95.0,95.0,133.0,,,288.0,133.0,"Census Tract 2.01, District of Columbia, District of Columbia",70.0,0.0,70.0,224.16861568854088,311.3577877478011,81.67190785741279,0.8244781783681214,0.07281783681214421,,,,1.0,1.0,0.06208412040096453,0.01662185382325612,,,,3.331830819262349,0.24076451361180243,0.0,2205.391807395232,165404.3855546424,0.0,2205.391807395232,167609.7773620376,165404.3855546424,,,0.02756188521539732,2.0671413911547987,0.0,0.02756188521539732,2.094703276370196,2.0671413911547987,42.41138091144676,3180.8535683585073,0.0,42.41138091144676,3223.264949269954,3180.8535683585073
2.01,2012,4,1,11,1,47894.0,N,L,14,6,49000,0,0,0,0,3,13000,,unknown,6,49000,8166.666666666667,0.0,0.0,83640.0,20640.0,46864.0,16136.0,4304.0,21008.0,58328.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,48.0,112.0,160.0,3136.0,72.0,2272.0,2616.0,70608.0,32.0,4104.0,384.0,16.0,42752.0,28896.0,304.0,10016.0,96.0,1576.0,78648.0,4992.0,8472.0,12952.0,17992.0,23584.0,25600.0,58040.0,8.0,23.0,22.0,45.0,5255.0,45.0,32.0,214.0,32.0,5030.0,7.173601147776183e-05,0.585844093735055,0.0,0.0,0.0,0.0,3.586800573888092e-05,0.15542802486848398,7.173601147776183e-05,0.585844093735055,0.0,0.0,0.13333333333333333,1088.888888888889,0.0,0.0,0.0,0.0,0.06666666666666667,288.8888888888889,0.13333333333333333,1088.888888888889,0.0,0.0,14000US11001000201,dc,189.0,4074.0,0.0,3079.0,323.0,0.0,0.0,0.0,,0.0,71.0,62.0,,,754.0,62.0,535.0,13.0,537.0,125.0,13.0,13.0,13.0,,13.0,107.0,72.0,,,375.0,72.0,"Census Tract 2.01, District of Columbia, District of Columbia",81.0,0.0,81.0,70.28049733812882,76.24758040255394,11.176155812067012,0.7557682866961217,0.07928325969563083,,,,1.0,1.0,0.052730501765689886,0.01754521870421236,,,,0.7782421457001371,0.04899131917502041,0.0,52496.46394458784,0.0,0.0,13927.633291421263,52496.46394458784,0.0,,,0.6276478233451439,0.0,0.0,0.16651881027524226,0.6276478233451439,0.0,1166.5880876575075,0.0,0.0,309.50296203158365,1166.5880876575075,0.0
2.01,2013,4,1,11,1,47894.0,N,L,14,4,55000,0,0,0,0,1,1000,,unknown,4,55000,13750.0,4.0,55000.0,88056.0,21920.0,49152.0,16984.0,4464.0,20832.0,62760.0,0.0,0.0,0.0,16.0,0.0,96.0,0.0,0.0,32.0,272.0,160.0,3376.0,0.0,2944.0,2504.0,73168.0,16.0,4752.0,688.0,32.0,45120.0,30368.0,304.0,10624.0,112.0,1528.0,82496.0,5560.0,8936.0,13808.0,18784.0,24608.0,26480.0,61576.0,9.0,22.0,17.0,67.0,5515.0,56.0,42.0,235.0,20.0,5277.0,4.5425638230217136e-05,0.6246025256654856,0.0,0.0,0.0,0.0,1.1356409557554284e-05,0.011356409557554284,4.5425638230217136e-05,0.6246025256654856,4.5425638230217136e-05,0.6246025256654856,0.07142857142857142,982.1428571428571,0.0,0.0,0.0,0.0,0.017857142857142856,17.857142857142858,0.07142857142857142,982.1428571428571,0.07142857142857142,982.1428571428571,14000US11001000201,dc,10.0,3909.0,0.0,2924.0,347.0,0.0,0.0,0.0,,0.0,64.0,66.0,,,728.0,66.0,495.0,12.0,507.0,122.0,12.0,12.0,12.0,,12.0,103.0,47.0,,,301.0,47.0,"Census Tract 2.01, District of Columbia, District of Columbia",52.0,0.0,52.0,40.93312065539799,49.1988269186585,10.316451518831087,0.7480173957533897,0.08876950626758762,,,,1.0,1.0,0.05386030835429967,0.017699333375115645,,,,0.7481920863629439,0.026077951104244865,0.0,57999.58745874588,0.0,0.0,1054.5379537953797,57999.58745874588,57999.58745874588,,,0.6586670693507073,0.0,0.0,0.011975764897285586,0.6586670693507073,0.6586670693507073,1035.7069189061763,0.0,0.0,18.83103488920321,1035.7069189061763,1035.7069189061763
2.01,2014,4,1,11,1,47894.0,N,L,14,6,65000,0,0,0,0,0,0,,unknown,6,65000,10833.333333333334,6.0,65000.0,89976.0,22544.0,50128.0,17304.0,4856.0,20888.0,64232.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,224.0,64.0,296.0,3552.0,64.0,1656.0,2784.0,74184.0,0.0,5920.0,656.0,512.0,45680.0,31520.0,408.0,10520.0,144.0,1704.0,84192.0,5784.0,9032.0,14480.0,19648.0,24272.0,28080.0,61896.0,22.0,24.0,16.0,66.0,5587.0,74.0,34.0,242.0,42.0,5323.0,6.668444918644971e-05,0.7224148661865386,0.0,0.0,0.0,0.0,0.0,0.0,6.668444918644971e-05,0.7224148661865386,6.668444918644971e-05,0.7224148661865386,0.08108108108108109,878.3783783783783,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,878.3783783783783,0.08108108108108109,878.3783783783783,14000US11001000201,dc,10.0,3844.0,4.0,2736.0,402.0,4.0,0.0,4.0,,0.0,69.0,70.0,,,985.0,81.0,755.0,5.0,621.0,192.0,5.0,12.0,5.0,,12.0,92.0,51.0,,,278.0,53.0,"Census Tract 2.01, District of Columbia, District of Columbia",71.0,4.0,71.0,40.65683308743092,48.80667796150529,7.90273556231003,0.7117585848074922,0.10457856399583768,1.0,0.0,0.0,1.0,0.8641975308641975,0.04921945393865237,0.02767725084022797,1.3723898262675447,1.3723898262675447,1.3723898262675447,0.5438777343233924,0.022026107688336648,0.16834136130259433,67479.50118846082,0.0,0.0,0.0,67479.50118846082,67479.50118846082,,,0.7499722280214816,0.0,0.0,0.0,0.7499722280214816,0.7499722280214816,911.8851511954165,0.0,0.0,0.0,911.8851511954165,911.8851511954165
2.01,2015,4,1,11,1,47894.0,N,L,14,4,158000,0,0,0,0,2,43000,,unknown,4,158000,39500.0,4.0,158000.0,268400.0,82888.0,130064.0,55448.0,64592.0,46208.0,157600.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,96.0,32.0,64.0,3416.0,16.0,1640.0,180696.0,76584.0,16.0,5312.0,144.0,336.0,171632.0,60360.0,1208.0,28984.0,608.0,5608.0,249104.0,19296.0,21440.0,35016.0,47632.0,81424.0,108984.0,159416.0,37.0,19.0,30.0,44.0,17190.0,73.0,36.0,243.0,26.0,16942.0,1.4903129657228018e-05,0.5886736214605067,0.0,0.0,0.0,0.0,7.451564828614009e-06,0.1602086438152012,1.4903129657228018e-05,0.5886736214605067,1.4903129657228018e-05,0.5886736214605067,0.0547945205479452,2164.3835616438355,0.0,0.0,0.0,0.0,0.0273972602739726,589.0410958904109,0.0547945205479452,2164.3835616438355,0.0547945205479452,2164.3835616438355,14000US11001000201,dc,10.0,3685.0,3.0,2653.0,295.0,3.0,0.0,3.0,,0.0,95.0,62.0,,,1333.0,80.0,384.0,4.0,403.0,124.0,4.0,12.0,4.0,,12.0,83.0,50.0,,,327.0,52.0,"Census Tract 2.01, District of Columbia, District of Columbia",62.0,3.0,62.0,37.87092553719762,46.12856324812249,7.689428960895755,0.7199457259158751,0.08005427408412483,1.0,0.0,0.0,1.0,0.775,0.04837195528364231,0.01981731575097922,1.866795764053921,1.866795764053921,1.866795764053921,0.5851840712181475,0.013613446204485135,0.22489192040837747,164173.7817010188,0.0,0.0,44680.206412302585,164173.7817010188,164173.7817010188,,,0.611675788751933,0.0,0.0,0.16646872731856405,0.611675788751933,0.611675788751933,2248.955913712586,0.0,0.0,612.0576220863368,2248.955913712586,2248.955913712586
2.01,2016,4,1,11,1,47894.0,N,L,14,7,219000,0,0,0,0,2,37000,,unknown,7,219000,31285.714285714286,7.0,219000.0,268400.0,82888.0,130064.0,55448.0,64592.0,46208.0,157600.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,96.0,32.0,64.0,3416.0,16.0,1640.0,180696.0,76584.0,16.0,5312.0,144.0,336.0,171632.0,60360.0,1208.0,28984.0,608.0,5608.0,249104.0,19296.0,21440.0,35016.0,47632.0,81424.0,108984.0,159416.0,37.0,19.0,30.0,44.0,17190.0,73.0,36.0,243.0,26.0,16942.0,2.608047690014903e-05,0.815946348733234,0.0,0.0,0.0,0.0,7.451564828614009e-06,0.13785394932935915,2.608047690014903e-05,0.815946348733234,2.608047690014903e-05,0.815946348733234,0.0958904109589041,3000.0,0.0,0.0,0.0,0.0,0.0273972602739726,506.8493150684931,0.0958904109589041,3000.0,0.0958904109589041,3000.0,14000US11001000201,dc,10.0,3733.0,3.0,2607.0,309.0,3.0,0.0,3.0,,0.0,107.0,55.0,,,1652.0,83.0,361.0,4.0,359.0,110.0,4.0,12.0,4.0,,12.0,87.0,52.0,,,306.0,53.0,"Census Tract 2.01, District of Columbia, District of Columbia",63.0,3.0,63.0,36.00508910628778,47.005467288080986,7.689428960895755,0.6983659255290651,0.08277524778998124,1.0,0.0,0.0,1.0,0.6626506024096386,0.04162020120561075,0.01723940335165408,1.866795764053921,1.866795764053921,1.866795764053921,0.5713366661376424,0.01106114295575027,0.28086405477350673,224475.09243782613,0.0,0.0,37925.01561734962,224475.09243782613,224475.09243782613,,,0.8363453518547919,0.0,0.0,0.1413003562494397,0.8363453518547919,0.8363453518547919,3075.001266271591,0.0,0.0,519.5207618815016,3075.001266271591,3075.001266271591
